YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2002,Hombre,69,Empleado,7,Buena,Muy seguro,Extremadura
2002,Mujer,70,Empleado,6,Mala,Muy seguro,Extremadura
2002,Mujer,29,Empleado,8,Muy buena,Muy seguro,Extremadura
2002,Mujer,45,Empleado,10,Mala,Muy seguro,Extremadura
2002,Hombre,58,Autónomo,8,Buena,Inseguro,Extremadura
2002,Hombre,62,Autónomo,7,Buena,Seguro,Extremadura
2002,Mujer,25,Empleado,7,Buena,Seguro,Illes Balears
2002,Mujer,46,Empleado,7,Buena,Seguro,Illes Balears
2002,Hombre,44,Empleado,7,Buena,Seguro,Illes Balears
2002,Hombre,39,Empleado,5,Buena,Seguro,Illes Balears
2002,Hombre,39,Empleado,8,Muy buena,Inseguro,Illes Balears
2002,Mujer,35,Empleado,8,Normal,Seguro,Illes Balears
2002,Mujer,44,Empleado,8,Buena,Seguro,Illes Balears
2002,Hombre,33,Empleado,5,Buena,Seguro,Illes Balears
2002,Mujer,33,Empleado,8,Buena,Inseguro,Illes Balears
2002,Mujer,52,Autónomo,6,Buena,Inseguro,Illes Balears
2002,Hombre,26,Empleado,9,Buena,Seguro,Illes Balears
2002,Hombre,24,Empleado,5,Buena,Muy seguro,Illes Balears
2002,Mujer,45,Autónomo,8,Buena,Seguro,Illes Balears
2002,Mujer,28,Empleado,8,Buena,Inseguro,Illes Balears
2002,Mujer,62,Empleado,5,Buena,Seguro,Illes Balears
2002,Hombre,25,Empleado,8,Muy buena,Seguro,Illes Balears
2002,Mujer,37,Empleado,8,Buena,Seguro,Illes Balears
2002,Hombre,52,Autónomo,9,Buena,Muy inseguro,Illes Balears
2002,Mujer,36,Empleado,8,Buena,Seguro,Illes Balears
2002,Mujer,40,Empleado,7,Mala,Seguro,Illes Balears
2002,Hombre,57,Empleado,6,Normal,Inseguro,Illes Balears
2002,Hombre,45,Empleado,9,Buena,Seguro,Illes Balears
2002,Hombre,32,Empleado,7,Buena,Seguro,Illes Balears
2002,Hombre,23,Empleado,6,Buena,Seguro,Illes Balears
2002,Mujer,36,Empleado,8,Buena,Seguro,Illes Balears
2002,Mujer,37,Empleado,6,Buena,Seguro,Illes Balears
2002,Hombre,42,Empleado,7,Muy buena,Inseguro,Illes Balears
2002,Hombre,38,Empleado,6,Normal,Seguro,Cataluña
2002,Mujer,65,Empleado,10,Buena,Seguro,Cataluña
2002,Hombre,39,Empleado,9,Buena,Seguro,Cataluña
2002,Mujer,37,Empleado,8,Buena,Muy inseguro,Cataluña
2002,Hombre,31,Empleado,8,Buena,Seguro,Cataluña
2002,Hombre,28,Empleado,6,Mala,Seguro,Cataluña
2002,Hombre,29,Autónomo,8,Muy buena,Seguro,Cataluña
2002,Hombre,42,Empleado,9,Muy buena,Muy seguro,Cataluña
2002,Mujer,31,Empleado,9,Buena,Inseguro,Cataluña
2002,Hombre,31,Empleado,7,Buena,Inseguro,Cataluña
2002,Mujer,20,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,29,Autónomo,6,Normal,Seguro,Cataluña
2002,Mujer,23,Empleado,7,Normal,Inseguro,Cataluña
2002,Hombre,70,Autónomo,9,Normal,Muy inseguro,Cataluña
2002,Hombre,56,Empleado,5,Buena,Seguro,Cataluña
2002,Hombre,30,Empleado,6,Buena,Seguro,Cataluña
2002,Mujer,38,Autónomo,7,Buena,Seguro,Cataluña
2002,Hombre,38,Autónomo,5,Buena,Inseguro,Cataluña
2002,Mujer,38,Empleado,10,Muy buena,Seguro,Cataluña
2002,Mujer,25,Empleado,7,Buena,Muy seguro,Cataluña
2002,Hombre,41,Autónomo,10,Buena,Seguro,Cataluña
2002,Mujer,52,Empleado,6,Buena,Inseguro,Cataluña
2002,Hombre,27,Autónomo,7,Buena,Inseguro,Cataluña
2002,Hombre,46,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,41,Empleado,9,Buena,Seguro,Cataluña
2002,Hombre,60,Autónomo,6,Buena,Seguro,Cataluña
2002,Hombre,58,Autónomo,3,Normal,Seguro,Cataluña
2002,Hombre,33,Autónomo,8,Buena,Seguro,Cataluña
2002,Mujer,55,Autónomo,7,Normal,Inseguro,Cataluña
2002,Mujer,37,Empleado,7,Buena,Inseguro,Cataluña
2002,Mujer,70,Empleado,10,Mala,Muy inseguro,Cataluña
2002,Mujer,41,Empleado,5,Muy buena,Seguro,Cataluña
2002,Mujer,39,Empleado,7,Buena,Inseguro,Cataluña
2002,Hombre,50,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,29,Empleado,7,Normal,Seguro,Cataluña
2002,Mujer,46,Empleado,6,Normal,Seguro,Cataluña
2002,Hombre,44,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,42,Empleado,6,Normal,Seguro,Cataluña
2002,Mujer,54,Empleado,6,Normal,Seguro,Cataluña
2002,Mujer,62,Autónomo,7,Normal,Inseguro,Cataluña
2002,Mujer,52,Empleado,6,Buena,Seguro,Cataluña
2002,Hombre,49,Empleado,7,Normal,Inseguro,Cataluña
2002,Hombre,37,Empleado,9,Buena,Seguro,Cataluña
