vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,14127,2011.2646704891342,5.605218671788609,2012,2011.2821374856233,5.9304,2002,2020,18,0.0013766712385089603,-1.1631125340884194,0.04715932577340321
2,14127,1.4771005875274297,0.4994930206205796,1,1.4713792798372114,0,1,2,1,0.09168412994558396,-1.9917349931085615,0.004202468353205308
3,14127,44.04547462306222,13.538843639738142,44,43.93866318676458,16.3086,14,70,56,0.06151691315525008,-0.9571930370120776,0.11390862251549608
4,14127,1.1858851843986693,0.4337673901842765,1,1.084402371051933,0,1,3,2,2.2663848218840146,4.508473786983627,0.0036494878900151257
5,14127,7.536278049125787,1.7245788677173153,8,7.670883836149695,1.4826,0,10,10,-1.0045664129655882,1.8061185276766967,0.01450968845407338
6,14127,2.2146952643873434,0.8453983535970252,2,2.172609041847297,1.4826,1,5,4,0.47689860640428966,0.07166305906551917,0.007112731670263085
7,14127,1.962270828909181,0.7613825639823079,2,1.9086083340706008,0,1,4,3,0.5444209783215728,0.08614011215517925,0.006405867545141298
8,5576,41.94422525107604,17.691342941585482,51,42.95898700134469,14.825999999999999,11,70,59,-0.42152209077137587,-1.0651863327129325,0.23691874241762587
